"0000","NO MERCHANT NAME"
"0000","PAYMENT ADJUSTMENT"
"0000","INTERNATIONAL TRANSACTION"
"0000","LATE PAYMENT FEE"
"0000","CBR MAN CK"
"0000","RTN CK - INSUFF FUNDS"
"0000","RETURNED PAYMENT FEE"
"0000","ACH Payment Reversal"
"0000","RTN CK - UTL ACCT"
"0000","EXPEDITED CARD"
"0000","SMALL BALANCE WRITE OFF"
"0000","CREDIT RETURN CHECK FEE"
"0000","CREDIT FAST CARD FEE"
"0000","PAYMENT THANK YOU"
"0000","RTN CK - STOP PAYMENT"
"0000","CREDIT INTERNATIONAL TRAN"
"0000","QRMT Payment Reversal"
"0000","CREDIT LATE CHARGE FEE"
"0000","CREDIT BALANCE REFUND"
"0000","RTN PMT AS NSF"
"0000","REMV SMALL BAL"
"0742","QUARRY HILL PARK A"
"0742","Endokrinologie Service Gm"
"0742","CASCADE ANIMAL MEDICAL"
"0742","BROADWAY VETERINARY HO"
"0742","ARIZONA VET MEDICAL ASSN"
"0742","MERRILL ANIMAL CLINIC"
"0742","BANFIELD 1597"
"0742","Assisi Drive Animal Hospi"
"0742","THE SCOTTSDALE VETERINARY"
"0742","SALEM ANIMAL HOSPI"
"0742","AFFILIATED EMERGENCY VET"
"0763","DELICE"
"0763","SEKAPP ORCHARD AND FARMS"
"0763","AGRIFAB SPEEDEPART"
"0763","FARM COUNTRY COOP"
"0780","AMERIGREEN"
"0780","SARGENTS/COLOURS"
"0780","SARGENTS LANDSCAPE NUR"
"0780","HATHAWAY TREE SERVICE"
"0780","NATIVE RESOURCES INTL"
"0780","ARTISTIC ARBORIST, INC"
"1520","SUNRISE COMML INTERIORS"
"1520","SQ  PRIORITY BUILDING SER"
"1520","ALL GLIDES"
"1520","MJ OCONNOR,"
"1520","GROUND ZERO RESTORATIO"
"1520","PAYPAL  REGALTRANSP"
"1520","PAYPAL  DERICBOONE"
"1520","LENOX TOWERS LP"
"1520","BOSTONSAFE"
"1711","FREDS PLUMBING"
"1711","WD MANOR MECHANICAL CONTR"
"1711","AIR ENERGY SYSTEMS"
"1711","AIRFLOW SOLUTIONS KOMPANY"
"1711","PATRIOT SUPPLY"
"1711","WENCL PLUMBING"
"1711","PLUMBMASTER INC"
"1711","BLK ELECTRIC"
"1711","TWC SERVICES"
"1711","ASSOCIATED CONTROLS INC"
"1711","HIMEC, INC."
"1711","MCDOWALL COMPANY"
"1711","JIM & DUDES PLUMBING"
"1711","ROCHESTER PLUMBING AND HE"
"1731","KEARNEY ELECTRIC"
"1731","FOSTER ELECTRIC MOTOR"
"1731","IES COMMERICAL INC"
"1731","GENELCO INC"
"1731","EMS Specialists"
"1731","NETSIAN/WILSON ELECTRI"
"1731","DECA SOUTHWEST LIGHTING"
"1731","AG ELECTRIC"
"1731","OWENS SERVICE CO"
"1731","POWER SOURCE SERVICES"
"1731","ELEC SYSTEMS OF DULUTH"
"1731","DYMAX SERVICE"
"1731","FOX ELECTRIC COMPANY"
"1731","HI-TECH ELECTRIC"
"1731","EDLEN ELECTRICAL EXHIBIT"
"1731","ALBERT LEA ELECTRIC COMPA"
"1731","EXHIBITIONS ELECTRIC CO"
"1731","STERLING ELECTRIC CORPORA"
"1750","QUALITY OVERHEAD DOOR"
"1761","DC TAYLOR CO"
"1761","SCHWICKERTS TECTA"
"1771","SINNOTT BLACKTOP LLC"
"1799","GRANITE ELECTRONICSINC"
"1799","St. Cloud Fire"
"1799","COCHISE PETROLEUM EQUIP"
"1799","AMERICAN BEVERAGE SYSTEMS"
"1799","ROTO-ROOTER #21"
"1799","SMART DOORS"
"1799","WAYNE DALTON"
"1799","LENZ CO"
"1799","FREEMAN  LAS VEGAS"
"1799","FREEMAN SAN FRANCISCO"
"1799","CAPITAL BUSINESS CENTER"
"1799","A LA  MODE APPAREL"
"1799","GILBERT GLASS"
"1799","WIND LOCK CORPORATION"
"1799","BREDE ALLIED CONVENTION"
